epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.016,1.71345,5.73212,1.41066,0.01673,0.74713,0.0152,0.00608,1.9516,94.1608,1.48482,0.000651515,0.000651515,0.000651515
2,32.964,1.71921,2.01855,1.47922,0.63926,0.61107,0.62971,0.2887,1.65095,3.25901,1.50365,0.00118768,0.00118768,0.00118768
3,51.1831,1.77176,1.55633,1.61849,0.67618,0.68966,0.68532,0.32204,1.66289,2.02799,1.49247,0.00159185,0.00159185,0.00159185
4,68.2745,1.60689,1.35372,1.48637,0.78752,0.59644,0.71719,0.34604,1.65114,3.25837,1.43122,0.001406,0.001406,0.001406
5,85.4557,1.62899,1.25721,1.47435,0.71246,0.75862,0.79688,0.39493,1.61014,1.61309,1.52598,0.001208,0.001208,0.001208
6,102.16,1.51076,1.1398,1.42724,0.83081,0.7931,0.81629,0.44439,1.54922,1.13255,1.41494,0.00101,0.00101,0.00101
7,119.149,1.49591,1.03773,1.38489,0.91406,0.85584,0.90915,0.4632,1.6325,0.96017,1.41949,0.000812,0.000812,0.000812
8,135.547,1.47064,1.0067,1.40541,0.9347,0.83908,0.91227,0.47428,1.52494,0.94695,1.33924,0.000614,0.000614,0.000614
9,153.06,1.38361,0.92951,1.309,0.94445,0.86207,0.9287,0.52639,1.526,0.84968,1.3361,0.000416,0.000416,0.000416
10,170.661,1.33789,0.8675,1.27599,0.90821,0.90985,0.9546,0.52284,1.50795,0.80842,1.35564,0.000218,0.000218,0.000218
